   7  1.0000E+00
AL27P   6.8175E-21
AL27A   7.1286E-21
NI582   1.4795E-21
IN115N  5.4278E-20
AU1972  1.1068E-19
AU197G  7.7096E-20
IN115G  9.0246E-20
