IN115G  INNG  IFX   10.00  3.83405501140065E+22  ATN = (7.31 × N_a × 1      ) / (114.818)
AU197G  AUNG  IFX   1.00  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
