IN115G  INNG  IFX   39.37  3.83405501140065E+22  ATN = (7.31 × N_a × 1      ) / (114.818)
AU197G  AUNG  IFX   3.937  5.90086568939524E+22  ATN = (19.3 × N_a × 1      ) / (196.966569)
